year,month,0_5.0,5.1_16.0,16.1_41.0,41.1_123.0,123.1_n_up,summer_first_4000_therms,summer_excess,winter_first_4000_therms,winter_excess,surcharge,
16,1,0.27048,0.52106,0.95482,1.66489,2.14936,0.85251,0.57183,0.97209,0.62092,0.04371,
16,2,0.27048,0.52106,0.95482,1.66489,2.14936,0.885,0.60432,1.00458,0.65341,0.04371,
16,3,0.27048,0.52106,0.95482,1.66489,2.14936,0.61508,0.3344,0.73466,0.38349,0.04371,
16,4,0.27048,0.52106,0.95482,1.66489,2.14936,0.69695,0.41627,0.81653,0.46536,0.04371,
16,5,0.27048,0.52106,0.95482,1.66489,2.14936,0.72752,0.44684,0.8471,0.49593,0.04371,
16,6,0.27048,0.52106,0.95482,1.66489,2.14936,0.6707,0.39002,0.79028,0.43911,0.04371,
16,7,0.27048,0.52106,0.95482,1.66489,2.14936,0.73428,0.4536,0.85386,0.50269,0.04371,
16,8,0.27048,0.52106,0.95482,1.66489,2.14936,0.95166,0.66472,1.0734,0.73337,0.04371,
16,9,0.27048,0.52106,0.95482,1.66489,2.14936,0.93743,0.65049,1.05917,0.71914,0.04371,
16,10,0.27048,0.52106,0.95482,1.66489,2.14936,1.02781,0.74087,1.14955,0.80952,0.04371,
16,11,0.27048,0.52106,0.95482,1.66489,2.14936,1.10046,0.81352,1.2222,0.88217,0.04371,
16,12,0.27048,0.52106,0.95482,1.66489,2.14936,1.03602,0.74908,1.15776,0.81773,0.04371,
17,1,0.27048,0.52106,0.95482,1.66489,2.14936,1.03647,0.78115,1.14733,0.84483,0.04672,
17,2,0.27048,0.52106,0.95482,1.66489,2.14936,1.02592,0.7706,1.13678,0.83428,0.04672,
17,3,0.27048,0.52106,0.95482,1.66489,2.14936,0.98567,0.73035,1.09653,0.79403,0.04672,
17,4,0.27048,0.52106,0.95482,1.66489,2.14936,1.00615,0.75083,1.11701,0.81451,0.04672,
17,5,0.27048,0.52106,0.95482,1.66489,2.14936,0.98238,0.72706,1.09324,0.79074,0.04672,
17,6,0.27048,0.52106,0.95482,1.66489,2.14936,0.97499,0.71967,1.08585,0.78335,0.04672,
17,7,0.27048,0.52106,0.95482,1.66489,2.14936,0.90226,0.64823,1.01244,0.71169,0.04672,
17,8,0.27048,0.52106,0.95482,1.66489,2.14936,0.91132,0.65729,1.0215,0.72075,0.04672,